weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
469,"{'top_left': np.int64(70), 'top_right': np.int64(56), 'bottom_left': np.int64(155), 'bottom_right': np.int64(188)}","{'top_left': np.float64(0.11164274322169059), 'top_right': np.float64(0.08931419457735247), 'bottom_left': np.float64(0.24720893141945774), 'bottom_right': np.float64(0.29984051036682613)}","(np.float64(19.266524520255864), np.float64(42.3816631130064))","(np.float64(0.507013803164628), np.float64(0.6520255863539446))","(np.float64(155.76691322552637), np.float64(144.05902864598724))","(np.float64(0.0357591628157774), np.float64(0.09471336531623092))"
319,"{'top_left': np.int64(45), 'top_right': np.int64(36), 'bottom_left': np.int64(94), 'bottom_right': np.int64(144)}","{'top_left': np.float64(0.08928571428571429), 'top_right': np.float64(0.07142857142857142), 'bottom_left': np.float64(0.1865079365079365), 'bottom_right': np.float64(0.2857142857142857)}","(np.float64(18.645768025078368), np.float64(34.98432601880878))","(np.float64(0.5327362292879534), np.float64(0.6360786548874323))","(np.float64(84.02169789998132), np.float64(109.48267017816258))","(np.float64(0.026792633258922616), np.float64(0.08447736896463162))"
585,"{'top_left': np.int64(63), 'top_right': np.int64(54), 'bottom_left': np.int64(248), 'bottom_right': np.int64(220)}","{'top_left': np.float64(0.09375), 'top_right': np.float64(0.08035714285714286), 'bottom_left': np.float64(0.36904761904761907), 'bottom_right': np.float64(0.3273809523809524)}","(np.float64(22.266666666666666), np.float64(39.93333333333333))","(np.float64(0.4737588652482269), np.float64(0.726060606060606))","(np.float64(133.7511111111111), np.float64(185.04))","(np.float64(0.04265022675736961), np.float64(0.0803125))"
641,"{'top_left': np.int64(98), 'top_right': np.int64(84), 'bottom_left': np.int64(213), 'bottom_right': np.int64(246)}","{'top_left': np.float64(0.12373737373737374), 'top_right': np.float64(0.10606060606060606), 'bottom_left': np.float64(0.2689393939393939), 'bottom_right': np.float64(0.3106060606060606)}","(np.float64(24.209048361934478), np.float64(41.55538221528861))","(np.float64(0.5043551742069683), np.float64(0.6393135725429017))","(np.float64(150.9708017649879), np.float64(208.3962363798764))","(np.float64(0.03465812712694855), np.float64(0.08679560032481316))"
410,"{'top_left': np.int64(84), 'top_right': np.int64(0), 'bottom_left': np.int64(144), 'bottom_right': np.int64(182)}","{'top_left': np.float64(0.15), 'top_right': np.float64(0.0), 'bottom_left': np.float64(0.2571428571428571), 'bottom_right': np.float64(0.325)}","(np.float64(20.173170731707316), np.float64(39.19268292682927))","(np.float64(0.5043292682926829), np.float64(0.7125942350332595))","(np.float64(128.48238548483047), np.float64(99.28952409280191))","(np.float64(0.04097014843266278), np.float64(0.059065749014159376))"
546,"{'top_left': np.int64(45), 'top_right': np.int64(36), 'bottom_left': np.int64(252), 'bottom_right': np.int64(213)}","{'top_left': np.float64(0.06987577639751552), 'top_right': np.float64(0.055900621118012424), 'bottom_left': np.float64(0.391304347826087), 'bottom_right': np.float64(0.3307453416149068)}","(np.float64(20.668498168498168), np.float64(40.10989010989011))","(np.float64(0.45929995929995926), np.float64(0.7292707292707292))","(np.float64(105.0501952260194), np.float64(177.63186477746916))","(np.float64(0.03349814898788884), np.float64(0.0839470060385015))"
398,"{'top_left': np.int64(45), 'top_right': np.int64(0), 'bottom_left': np.int64(204), 'bottom_right': np.int64(149)}","{'top_left': np.float64(0.09453781512605042), 'top_right': np.float64(0.0), 'bottom_left': np.float64(0.42857142857142855), 'bottom_right': np.float64(0.3130252100840336)}","(np.float64(14.037688442211055), np.float64(41.266331658291456))","(np.float64(0.42538449824881985), np.float64(0.7502969392416629))","(np.float64(96.78836393020379), np.float64(81.0161675210222))","(np.float64(0.03086363645733539), np.float64(0.07008318989707803))"
418,"{'top_left': np.int64(65), 'top_right': np.int64(62), 'bottom_left': np.int64(92), 'bottom_right': np.int64(199)}","{'top_left': np.float64(0.12896825396825398), 'top_right': np.float64(0.12301587301587301), 'bottom_left': np.float64(0.18253968253968253), 'bottom_right': np.float64(0.3948412698412698)}","(np.float64(20.370813397129186), np.float64(36.610047846889955))","(np.float64(0.565855927698033), np.float64(0.6656372335798174))","(np.float64(137.63980334699295), np.float64(87.89359790297841))","(np.float64(0.04389024341421969), np.float64(0.06420277421693091))"
633,"{'top_left': np.int64(78), 'top_right': np.int64(91), 'bottom_left': np.int64(285), 'bottom_right': np.int64(179)}","{'top_left': np.float64(0.10714285714285714), 'top_right': np.float64(0.125), 'bottom_left': np.float64(0.3914835164835165), 'bottom_right': np.float64(0.24587912087912087)}","(np.float64(24.067930489731438), np.float64(36.78830963665087))","(np.float64(0.47192020568100856), np.float64(0.6688783570300159))","(np.float64(123.5349660210288), np.float64(231.76947707573703))","(np.float64(0.039392527430174996), np.float64(0.0857135640072992))"
474,"{'top_left': np.int64(70), 'top_right': np.int64(76), 'bottom_left': np.int64(176), 'bottom_right': np.int64(152)}","{'top_left': np.float64(0.13157894736842105), 'top_right': np.float64(0.14285714285714285), 'bottom_left': np.float64(0.3308270676691729), 'bottom_right': np.float64(0.2857142857142857)}","(np.float64(18.5042194092827), np.float64(35.14767932489451))","(np.float64(0.5001140380887217), np.float64(0.639048714998082))","(np.float64(117.51405579590165), np.float64(100.1909104666275))","(np.float64(0.03747259432267272), np.float64(0.06938428702675034))"
248,"{'top_left': np.int64(70), 'top_right': np.int64(66), 'bottom_left': np.int64(56), 'bottom_right': np.int64(56)}","{'top_left': np.float64(0.15625), 'top_right': np.float64(0.14732142857142858), 'bottom_left': np.float64(0.125), 'bottom_right': np.float64(0.125)}","(np.float64(15.266129032258064), np.float64(30.346774193548388))","(np.float64(0.4924557752341311), np.float64(0.5517595307917889))","(np.float64(134.04910249739856), np.float64(33.46949791883455))","(np.float64(0.04274524952085414), np.float64(0.032685056561361864))"
